id,conversation_id,post_order,thread_length,date,created_at,text,like_count,retweet_count,reply_count,quote_count,bookmark_count,impression_count,has_image,has_video,has_link,permalink
2031317910178971673,2031317910178971673,1,1,2026-03-10,2026-03-10T10:35:04.000Z,"https://t.co/F6baAaBxqp",137,7,1,4,182,16849,,,○,https://x.com/SuguruKun_ai/status/2031317910178971673
2031299549957067039,2031158332065714541,4,4,2026-03-10,2026-03-10T09:22:07.000Z,"@jrpj2010 いや3個サブスクしていて、適宜 /swich accountで切り替えてるだけですね！笑",0,0,0,0,0,199,,,,https://x.com/SuguruKun_ai/status/2031299549957067039
2031271553116312014,2031158332065714541,3,4,2026-03-10,2026-03-10T07:30:52.000Z,"@skgc0123 駆動開発というよりもう普通にビジネス用途ですね！！笑
1タブだけ、自分のための効率化ツール作ってますがそれ以外は基本的に単純に非エンジニアリング用途です！",1,0,1,0,0,241,,,,https://x.com/SuguruKun_ai/status/2031271553116312014
2031158913996099772,2031158332065714541,2,4,2026-03-10,2026-03-10T00:03:16.000Z,"ちなみにこれに加えて、スマホではDiscordにAIエージェントが作業できる環境を入れてます。
ㅤ
元々Slackメインで動かしてたんですが、色々考えてDiscordに環境を移しています。
ㅤ
正直これもかなりいいです。本当はもうここメインで作業した方がいいんじゃね？とも思っています。笑 https://t.co/Pg7rhiYDTh",8,0,0,0,3,3847,○,,,https://x.com/SuguruKun_ai/status/2031158913996099772
2031158332065714541,2031158332065714541,1,4,2026-03-10,2026-03-10T00:00:58.000Z,"めちゃくちゃ捗りまくる最近のAIエージェント作業環境：
ㅤ
VS code × 3ウィンドウに5タブずつAIエージェントを入れてて、 Codex 1体 + Claude Code 4体ずつという感じ。
ㅤ
計15セッションを同時に開いてるけどまだ足りない、、笑 https://t.co/EedvKI2E3X",198,11,18,7,102,31647,,○,,https://x.com/SuguruKun_ai/status/2031158332065714541
2029795800075899098,2029795729020166510,5,5,2026-03-06,2026-03-06T05:46:45.000Z,"Lovartはこちらから利用できます：
https://t.co/YnOqUywidT https://t.co/wP6mMlunpA",2,1,0,0,0,2486,○,,○,https://x.com/SuguruKun_ai/status/2029795800075899098
2029795780626940275,2029795729020166510,4,5,2026-03-06,2026-03-06T05:46:40.000Z,"個人的にLovartが他と違うなって思うのは、
「生成して終わり」じゃないところ。
ㅤ
・テキスト編集機能 → テキスト直接編集
・スマートタッチ機能 → 部分修正
・要素編集機能 → 要素差し替え
・マークアップ機能 → 実機はめ込み
ㅤ
ちなみに今NanoBanana",2,1,1,0,1,2685,,,,https://x.com/SuguruKun_ai/status/2029795780626940275
2029795767830065270,2029795729020166510,3,5,2026-03-06,2026-03-06T05:46:37.000Z,"② YouTubeサムネイル、名刺デザイン
ㅤ
地味にデザイナーに頼むと時間かかるやつ。
ㅤ
Lovartだと：
1. 無限キャンバスにプロンプト投げる
2. NanoBanana 2が数秒で生成
3. 「テキスト」編集で文字を微修正
4. 完成
ㅤ
ここまで1分しかかからなっかた。 https://t.co/j2zfHNnNQ1",1,0,1,0,0,496,○,,,https://x.com/SuguruKun_ai/status/2029795767830065270
2029795747441586488,2029795729020166510,2,5,2026-03-06,2026-03-06T05:46:32.000Z,"① Instagramカルーセルの表紙
　ㅤ
 特に便利なのが日本語テキストの正確さ。
　ㅤ
「知らないと損する AIツール 5選」って書いてって言ったら、
ちゃんとそのまま出てくる。文字化けゼロ。 https://t.co/pWqnGFum04",3,0,1,0,1,675,○,,,https://x.com/SuguruKun_ai/status/2029795747441586488
2029795729020166510,2029795729020166510,1,5,2026-03-06,2026-03-06T05:46:28.000Z,"LovartのNanoBanana 2で「仕事で実際に使えるか」試してみた。
ㅤ
テキスト編集機能を使うと、AIが画像を解析。ネオンの光沢や立体感を完全に維持したまま、「AI革命」から「AGI」へ一瞬で文字を書き換えてくれました。
ㅤ
文字の裏にあった背景もAIが自然に補完。 https://t.co/uhRByrg0Ai",41,1,3,1,31,10325,,○,,https://x.com/SuguruKun_ai/status/2029795729020166510
2029443864671711527,2029443778696888682,7,7,2026-03-05,2026-03-05T06:28:17.000Z,"全世界で7,000万モデル以上が生成されていて、A16Zから「ゲーム開発者向けトップAIツール」にも選ばれてるMeshy。
ㅤ
正直、テキストから3Dモデル出力する精度がここまで来てるとは思わなかった。
ディテールもエッジのシャープさも、手作業スカルプトに迫るレベル。",7,1,0,0,7,3625,,,,https://x.com/SuguruKun_ai/status/2029443864671711527
2029443852478869907,2029443778696888682,6,7,2026-03-05,2026-03-05T06:28:14.000Z,"5. マルチカラー3Dプリント対応
ㅤ
FDMプリンター向けにテクスチャをフィラメントカラーへ自動マッピング。画面で見たまま → そのまま造形できる。3Dプリント勢にもかなり嬉しいアップデート。 https://t.co/2tDyxDNQeV",6,1,1,0,0,3657,○,,,https://x.com/SuguruKun_ai/status/2029443852478869907
