No,thread_url,post_code
1,https://www.threads.net/@asa_to_ame/post/DUzf3dmEy5l,DUzf3dmEy5l
2,https://www.threads.net/@asa_to_ame/post/DVqUayJieYy,DVqUayJieYy
3,https://www.threads.net/@asa_to_ame/post/DVqNnNxEyoK,DVqNnNxEyoK
4,https://www.threads.net/@asa_to_ame/post/DVqNpWQE1qv,DVqNpWQE1qv
5,https://www.threads.net/@asa_to_ame/post/DVqBX06kxF2,DVqBX06kxF2
6,https://www.threads.net/@asa_to_ame/post/DVp_w-Qk78k,DVp_w-Qk78k
7,https://www.threads.net/@asa_to_ame/post/DVp_zFukyPV,DVp_zFukyPV
8,https://www.threads.net/@asa_to_ame/post/DVpeDuTk1dR,DVpeDuTk1dR
9,https://www.threads.net/@asa_to_ame/post/DVpeEheE7Y0,DVpeEheE7Y0
10,https://www.threads.net/@asa_to_ame/post/DVo7UvcE9i7,DVo7UvcE9i7
11,https://www.threads.net/@asa_to_ame/post/DVo7XFsE1sZ,DVo7XFsE1sZ
12,https://www.threads.net/@asa_to_ame/post/DVnos7dkzS4,DVnos7dkzS4
13,https://www.threads.net/@asa_to_ame/post/DVnovn6EyKf,DVnovn6EyKf
14,https://www.threads.net/@asa_to_ame/post/DVnbGDIE2E5,DVnbGDIE2E5
15,https://www.threads.net/@asa_to_ame/post/DVnbIK5E6bz,DVnbIK5E6bz
16,https://www.threads.net/@asa_to_ame/post/DVm4-D0kxhq,DVm4-D0kxhq
17,https://www.threads.net/@asa_to_ame/post/DVm4-2vEwR-,DVm4-2vEwR-
18,https://www.threads.net/@asa_to_ame/post/DVmkCcYk56a,DVmkCcYk56a
19,https://www.threads.net/@asa_to_ame/post/DVmkDt1E2tG,DVmkDt1E2tG
20,https://www.threads.net/@asa_to_ame/post/DVlD7CGE5c6,DVlD7CGE5c6
21,https://www.threads.net/@asa_to_ame/post/DVlD9Xakxza,DVlD9Xakxza
22,https://www.threads.net/@asa_to_ame/post/DVk2YenE-A0,DVk2YenE-A0
23,https://www.threads.net/@asa_to_ame/post/DVk2Zejk0xM,DVk2Zejk0xM
24,https://www.threads.net/@asa_to_ame/post/DVkT41yk6kF,DVkT41yk6kF
25,https://www.threads.net/@asa_to_ame/post/DVkT5qTE4hZ,DVkT5qTE4hZ
26,https://www.threads.net/@asa_to_ame/post/DVj_YdCk0xM,DVj_YdCk0xM
27,https://www.threads.net/@asa_to_ame/post/DVj_Zjek2FM,DVj_Zjek2FM
28,https://www.threads.net/@asa_to_ame/post/DVifLCck8qz,DVifLCck8qz
29,https://www.threads.net/@asa_to_ame/post/DVifNZ1kxrz,DVifNZ1kxrz
30,https://www.threads.net/@asa_to_ame/post/DViRYSzk-Ro,DViRYSzk-Ro
31,https://www.threads.net/@asa_to_ame/post/DViRaeak_uK,DViRaeak_uK
32,https://www.threads.net/@asa_to_ame/post/DVhvdZvk6Ur,DVhvdZvk6Ur
33,https://www.threads.net/@asa_to_ame/post/DVhvf0_k4be,DVhvf0_k4be
34,https://www.threads.net/@asa_to_ame/post/DVgB_FAE8Tn,DVgB_FAE8Tn
35,https://www.threads.net/@asa_to_ame/post/DVf6bYTkzSu,DVf6bYTkzSu
36,https://www.threads.net/@asa_to_ame/post/DVf6drLk3Hz,DVf6drLk3Hz
37,https://www.threads.net/@asa_to_ame/post/DVfslfVE4vF,DVfslfVE4vF
38,https://www.threads.net/@asa_to_ame/post/DVfsnmVkzop,DVfsnmVkzop
39,https://www.threads.net/@asa_to_ame/post/DVffCS7E4pE,DVffCS7E4pE
40,https://www.threads.net/@asa_to_ame/post/DVffDT8k-nm,DVffDT8k-nm
41,https://www.threads.net/@asa_to_ame/post/DVfKSqkEyHD,DVfKSqkEyHD
42,https://www.threads.net/@asa_to_ame/post/DVfKVDWk2fV,DVfKVDWk2fV
43,https://www.threads.net/@asa_to_ame/post/DVfIfJSk1Xo,DVfIfJSk1Xo
44,https://www.threads.net/@asa_to_ame/post/DVdZqGUEyLB,DVdZqGUEyLB
45,https://www.threads.net/@asa_to_ame/post/DVdYMtokzkw,DVdYMtokzkw
46,https://www.threads.net/@asa_to_ame/post/DVdYMtrkxgb,DVdYMtrkxgb
47,https://www.threads.net/@asa_to_ame/post/DVdVMJEk4lt,DVdVMJEk4lt
48,https://www.threads.net/@asa_to_ame/post/DVdA7G-k_UX,DVdA7G-k_UX
49,https://www.threads.net/@asa_to_ame/post/DVdA8FjE19h,DVdA8FjE19h
50,https://www.threads.net/@asa_to_ame/post/DVclpvakwCS,DVclpvakwCS
51,https://www.threads.net/@asa_to_ame/post/DVclsAdE7vI,DVclsAdE7vI
52,https://www.threads.net/@asa_to_ame/post/DVcel1-k20C,DVcel1-k20C
53,https://www.threads.net/@asa_to_ame/post/DVceoAUE6Q1,DVceoAUE6Q1
54,https://www.threads.net/@asa_to_ame/post/DVcaf5gE8dM,DVcaf5gE8dM
55,https://www.threads.net/@asa_to_ame/post/DVcZYAaE-Dw,DVcZYAaE-Dw
56,https://www.threads.net/@asa_to_ame/post/DVbBAVOE5GF,DVbBAVOE5GF
57,https://www.threads.net/@asa_to_ame/post/DVbBCvDk7Hf,DVbBCvDk7Hf
58,https://www.threads.net/@asa_to_ame/post/DVapIXsk68L,DVapIXsk68L
59,https://www.threads.net/@asa_to_ame/post/DVapVeXE426,DVapVeXE426
60,https://www.threads.net/@asa_to_ame/post/DVamdT3k_tC,DVamdT3k_tC
61,https://www.threads.net/@asa_to_ame/post/DVadfCok_5K,DVadfCok_5K
62,https://www.threads.net/@asa_to_ame/post/DVacIS0k2BM,DVacIS0k2BM
63,https://www.threads.net/@asa_to_ame/post/DVacKeTk8UG,DVacKeTk8UG
64,https://www.threads.net/@asa_to_ame/post/DVaDbR_ExX9,DVaDbR_ExX9
65,https://www.threads.net/@asa_to_ame/post/DVaDbR9E1Fk,DVaDbR9E1Fk
